2025-01-10T14:11:11.032Z | direct | GET /arcade_assets/jaeyong_jump/assets/Clouds.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:11.033Z | direct | GET /arcade_assets/jaeyong_jump/assets/rocket.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:11.033Z | direct | GET /arcade_assets/jaeyong_jump/assets/buds.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:11.033Z | direct | GET /arcade_assets/jaeyong_jump/assets/laundry.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:11.038Z | direct | GET /arcade_assets/jaeyong_jump/assets/refri.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:11.048Z | direct | GET /arcade_assets/jaeyong_jump/assets/s1.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:11.064Z | direct | GET /arcade_assets/jaeyong_jump/assets/s2.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:11.078Z | direct | GET /arcade_assets/jaeyong_jump/assets/s21.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:11.085Z | direct | GET /arcade_assets/jaeyong_jump/assets/s22.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:11.092Z | direct | GET /arcade_assets/jaeyong_jump/assets/note7.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:13.574Z | direct | GET /arcade/jaeyong_jump | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:39.092Z | direct | GET /_app/immutable/nodes/6.3w_d9hhc.js | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:39.722Z | direct | GET /arcade_assets/dodge_star/assets/bgm.mp3 | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:39.731Z | direct | GET /arcade_assets/dodge_star/assets/blue_grass.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:39.731Z | direct | GET /arcade_assets/dodge_star/assets/grassLeft.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:39.732Z | direct | GET /arcade_assets/dodge_star/assets/grassMid.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:39.734Z | direct | GET /arcade_assets/dodge_star/assets/grassRight.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
2025-01-10T14:11:39.735Z | direct | GET /arcade_assets/dodge_star/assets/star.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
